"","date","SQ","PYPL","MA","V","index"
"1847",2023-03-23,-0.147177174925021,-0.453810554452596,0.812511250683597,0.871010862360491,1.08253438366647
"1848",2023-03-24,-0.305256892353389,-0.479995450577957,0.842824570672746,0.914870490407172,0.972442718148572
"1849",2023-03-27,-0.322860988190013,-0.460578562595751,0.817959261637046,0.888206847958815,0.922726558810096
"1850",2023-03-28,-0.268279209968031,-0.469110980320857,0.845092236137129,0.901451299921098,1.00915334576934
"1851",2023-03-29,-0.277671430438585,-0.477936423035182,0.842461650858671,0.875997296485506,0.96285109387041
"1852",2023-03-30,-0.237604170793176,-0.4561646737245,0.889596024245905,0.927087808535911,1.12291498826414
"1853",2023-03-31,-0.208246115847167,-0.453074811273549,0.887150395844437,0.910913334695902,1.13674280341962
"1854",2023-04-03,-0.205897309629757,-0.430264268667995,0.92472563520227,0.964267045637474,1.25283110254199
"1855",2023-04-04,-0.217934519711138,-0.439830847948084,0.952413275301007,1.02522414272799,1.31987205036977
"1856",2023-04-05,-0.203108227606569,-0.440272334642564,0.929160080099517,1.00214768484546,1.28792720269584
"1857",2023-04-06,-0.220429963660739,-0.46455069660366,0.928164737528151,1.01093023165072,1.25411430891447
"1858",2023-04-10,-0.213971136943395,-0.444687279072697,0.907164468184764,0.973391857780333,1.22189790994901
"1859",2023-04-11,-0.239512293130691,-0.451161997181954,0.895121109955718,0.980967490468015,1.18541431011109
"1860",2023-04-12,-0.238631640485273,-0.464992015787959,0.931241566938785,1.01575217638861,1.24337008705416
"1861",2023-04-13,-0.292638783992559,-0.466168925237545,0.909971067995705,1.00473067554341,1.15589403430901
"1862",2023-04-14,-0.265931130379359,-0.436445955741126,0.981176332799302,1.08877077414339,1.3675700208222
"1863",2023-04-17,-0.273562392953906,-0.421579873258296,1.00631808110025,1.1116702086437,1.42284602353175
"1864",2023-04-18,-0.27136107150427,-0.409803018468154,1.00930272962479,1.10237310607526,1.43051174572763
"1865",2023-04-19,-0.275616898936724,-0.423199081504743,1.00532338899241,1.1044393454036,1.41094675395454
"1866",2023-04-20,-0.290731315136046,-0.4393893587775,1.00966428996969,1.08670454371991,1.36624815977605
